	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341
D00182	0.428571	0.607143	0.448276	0.72	0.6	0.128205	0.4	0.3	0.5	0.351351	1	0.307692	0.315789	0.173913	0.358974	0.027027	0.307692	0.342857	0.021277	0.586207	0.128205	0.5	0.466667	0.114286	0.517241	0.021739	0.05	0.5	0.025	0.078431	0.016667	0.295455	0.028571	0.05	0.3	0.875	0.515152	0.875	0.529412	0.0625	0.032258	0.1	0.405405	0.119048	0.211538	0.5	0.612903	0.318182	0.084746	0.384615	0.096154	0.666667	0.307692	0.025641
D00187	0.540541	0.368421	0.25641	0.351351	0.27907	0.342105	0.289474	0.638889	0.444444	0.390244	0.307692	1	0.78125	0.173333	0.25	0.071429	0.757576	0.2	0.195652	0.358974	0.342105	0.26087	0.342105	0.045455	0.243902	0.102041	0.065217	0.326087	0.066667	0.068966	0.046154	0.207547	0.02381	0.065217	0.735294	0.3	0.357143	0.3	0.255319	0.035714	0.044118	0.040816	0.282609	0.102041	0.166667	0.333333	0.295455	0.27451	0.109375	0.244898	0.084746	0.333333	0.208333	0.021739
D00188	0.647059	0.378378	0.263158	0.361111	0.317073	0.25	0.297297	0.8125	0.457143	0.473684	0.315789	0.78125	1	0.175676	0.311111	0.073171	0.583333	0.204545	0.148936	0.368421	0.25	0.295455	0.351351	0.046512	0.25	0.104167	0.066667	0.333333	0.068182	0.109091	0.080645	0.235294	0.076923	0.066667	0.567568	0.307692	0.333333	0.307692	0.318182	0.055556	0.076923	0.041667	0.288889	0.104167	0.232143	0.342105	0.302326	0.306122	0.129032	0.276596	0.125	0.342105	0.266667	0.095238
D00211	0.208333	0.188406	0.161765	0.19403	0.231884	0.125	0.161765	0.219178	0.188406	0.191781	0.173913	0.173333	0.175676	1	0.216216	0.119403	0.205479	0.135135	0.197183	0.220588	0.125	0.189189	0.140845	0.101449	0.157143	0.150685	0.112676	0.197368	0.068493	0.108434	0.101124	0.220779	0.073529	0.112676	0.202703	0.171429	0.26087	0.171429	0.202703	0.08642	0.074468	0.125	0.202703	0.166667	0.136364	0.205882	0.191781	0.266667	0.16092	0.22973	0.189873	0.15493	0.157895	0.013158
D00246	0.372093	0.459459	0.275	0.444444	0.628571	0.152174	0.275	0.297872	0.384615	0.311111	0.358974	0.25	0.311111	0.216216	1	0.093023	0.276596	0.217391	0.075472	0.486486	0.152174	0.395349	0.325	0.090909	0.261905	0.098039	0.108696	0.340426	0.086957	0.103448	0.09375	0.571429	0.071429	0.085106	0.297872	0.35	0.439024	0.35	0.326087	0.090909	0.089552	0.081633	0.355556	0.12	0.2	0.421053	0.311111	0.634146	0.140625	0.575	0.157895	0.285714	0.276596	0.088889
D00279	0.073171	0.083333	0.2	0.057143	0.076923	0.085714	0.2	0.095238	0.083333	0.073171	0.027027	0.071429	0.073171	0.119403	0.093023	1	0.071429	0.205882	0.354839	0.111111	0.085714	0.071429	0.085714	0.269231	0.1875	0.518519	0.333333	0.230769	0.25	0.225	0.222222	0.214286	0.5	0.285714	0.095238	0.054054	0.157895	0.054054	0.243243	0.25	0.208333	0.225806	0.121951	0.413793	0.14	0.083333	0.128205	0.155556	0.183673	0.2	0.186047	0.054054	0.25	0.0625
D00299	0.425	0.3	0.25641	0.351351	0.309524	0.342105	0.289474	0.512821	0.405405	0.390244	0.307692	0.757576	0.583333	0.205479	0.276596	0.071429	1	0.2	0.222222	0.358974	0.342105	0.288889	0.342105	0.045455	0.243902	0.102041	0.065217	0.355556	0.066667	0.068966	0.046154	0.230769	0.02381	0.065217	0.735294	0.3	0.357143	0.3	0.255319	0.035714	0.044118	0.040816	0.282609	0.102041	0.186441	0.333333	0.325581	0.27451	0.109375	0.244898	0.084746	0.333333	0.208333	0.021739
D00312	0.232558	0.333333	0.730769	0.352941	0.275	0.093023	0.607143	0.195652	0.263158	0.232558	0.342857	0.2	0.204545	0.135135	0.217391	0.205882	0.2	1	0.133333	0.289474	0.093023	0.255814	0.305556	0.2	0.566667	0.162791	0.153846	0.357143	0.222222	0.208333	0.103448	0.25	0.181818	0.153846	0.195652	0.333333	0.261905	0.333333	0.410256	0.227273	0.116667	0.305556	0.222222	0.219512	0.375	0.297297	0.261905	0.196078	0.264151	0.23913	0.2	0.230769	0.459459	0.02381
D00316	0.125	0.065217	0.121951	0.044444	0.061224	0.371429	0.121951	0.142857	0.065217	0.08	0.021277	0.195652	0.148936	0.197183	0.075472	0.354839	0.222222	0.133333	1	0.06383	0.371429	0.057692	0.066667	0.102564	0.116279	0.275	0.179487	0.137255	0.153846	0.156863	0.160714	0.12963	0.212121	0.15	0.191489	0.042553	0.148936	0.042553	0.12	0.122449	0.133333	0.142857	0.098039	0.275	0.098361	0.065217	0.102041	0.107143	0.133333	0.137255	0.12963	0.042553	0.170213	0.047619
D00327	0.444444	0.62069	0.375	0.666667	0.724138	0.179487	0.333333	0.35	0.516129	0.405405	0.586207	0.358974	0.368421	0.220588	0.486486	0.111111	0.358974	0.289474	0.06383	1	0.179487	0.472222	0.483871	0.108108	0.352941	0.088889	0.1	0.513514	0.075	0.075472	0.05	0.475	0.027027	0.1	0.35	0.566667	0.485714	0.566667	0.384615	0.06	0.064516	0.121951	0.542857	0.113636	0.203704	0.516129	0.405405	0.463415	0.118644	0.513514	0.134615	0.46875	0.292683	0.02439
D00348	0.190476	0.184211	0.105263	0.162162	0.142857	1	0.105263	0.238095	0.184211	0.219512	0.128205	0.342105	0.25	0.125	0.152174	0.085714	0.342105	0.093023	0.371429	0.179487	1	0.159091	0.157895	0.054054	0.1	0.093023	0.076923	0.173913	0.051282	0.1	0.109091	0.14	0.028571	0.076923	0.333333	0.125	0.190476	0.125	0.106383	0.02	0.103448	0.073171	0.155556	0.146341	0.067797	0.184211	0.162791	0.137255	0.084746	0.148936	0.055556	0.125	0.085106	0.111111
D00443	0.425	0.677419	0.289474	0.5625	0.527778	0.159091	0.25641	0.282609	0.575758	0.425	0.5	0.26087	0.266667	0.189189	0.395349	0.071429	0.288889	0.255814	0.057692	0.472222	0.159091	1	0.5	0.095238	0.275	0.08	0.042553	0.386364	0.090909	0.068966	0.046154	0.333333	0.02381	0.042553	0.282609	0.485714	0.540541	0.485714	0.372093	0.054545	0.028986	0.085106	0.685714	0.102041	0.186441	0.625	0.425	0.354167	0.126984	0.386364	0.103448	0.368421	0.208333	0.021739
D00462	0.470588	0.5	0.4	0.535714	0.454545	0.157895	0.4	0.333333	0.551724	0.515152	0.466667	0.342105	0.351351	0.140845	0.325	0.085714	0.342105	0.305556	0.066667	0.483871	0.157895	0.5	1	0.054054	0.419355	0.068182	0.076923	0.35	0.051282	0.037736	0.051724	0.266667	0.028571	0.076923	0.368421	0.451613	0.388889	0.451613	0.3	0.040816	0.04918	0.047619	0.444444	0.119048	0.211538	0.40625	0.388889	0.348837	0.122807	0.35	0.096154	0.451613	0.307692	0.025641
D00506	0.046512	0.111111	0.233333	0.117647	0.102564	0.054054	0.15625	0.044444	0.052632	0.046512	0.114286	0.045455	0.046512	0.101449	0.090909	0.269231	0.045455	0.2	0.102564	0.108108	0.054054	0.095238	0.054054	1	0.147059	0.166667	0.233333	0.195122	0.16129	0.282051	0.142857	0.155556	0.291667	0.193548	0.044444	0.142857	0.097561	0.142857	0.236842	0.15	0.156863	0.344828	0.093023	0.166667	0.09434	0.111111	0.046512	0.081633	0.113208	0.088889	0.130435	0.081081	0.121951	0.060606
D00554	0.282051	0.323529	0.75	0.387097	0.371429	0.1	0.826087	0.268293	0.323529	0.315789	0.517241	0.243902	0.25	0.157143	0.261905	0.1875	0.243902	0.566667	0.116279	0.352941	0.1	0.275	0.419355	0.147059	1	0.146341	0.235294	0.459459	0.205882	0.145833	0.109091	0.295455	0.2	0.235294	0.268293	0.451613	0.282051	0.451613	0.405405	0.186047	0.122807	0.222222	0.238095	0.27027	0.4	0.285714	0.388889	0.208333	0.207547	0.285714	0.266667	0.40625	0.545455	0.025641
D00565	0.104167	0.090909	0.153846	0.045455	0.085106	0.093023	0.153846	0.1	0.090909	0.081633	0.021739	0.102041	0.104167	0.150685	0.098039	0.518519	0.102041	0.162791	0.275	0.088889	0.093023	0.08	0.068182	0.166667	0.146341	1	0.451613	0.212766	0.294118	0.26087	0.254902	0.22449	0.3	0.451613	0.1	0.021277	0.177778	0.021277	0.195652	0.384615	0.288462	0.205128	0.1	0.428571	0.137931	0.090909	0.104167	0.150943	0.288462	0.14	0.304348	0.021277	0.2	0.02381
D00577	0.066667	0.04878	0.212121	0.078947	0.095238	0.076923	0.25	0.086957	0.075	0.090909	0.05	0.065217	0.066667	0.112676	0.108696	0.333333	0.065217	0.153846	0.179487	0.1	0.076923	0.042553	0.076923	0.233333	0.235294	0.451613	1	0.209302	0.21875	0.292683	0.282609	0.122449	0.36	0.818182	0.086957	0.075	0.043478	0.075	0.162791	0.361111	0.347826	0.2	0.041667	0.40625	0.173077	0.04878	0.043478	0.056604	0.265306	0.083333	0.341463	0.075	0.195122	0.085714
D00585	0.363636	0.447368	0.405405	0.472222	0.487179	0.173913	0.405405	0.319149	0.375	0.276596	0.5	0.326087	0.333333	0.197368	0.340426	0.230769	0.355556	0.357143	0.137255	0.513514	0.173913	0.386364	0.35	0.195122	0.459459	0.212766	0.209302	1	0.159091	0.181818	0.145161	0.395833	0.179487	0.209302	0.291667	0.486486	0.428571	0.486486	0.47619	0.173077	0.138462	0.2	0.409091	0.23913	0.237288	0.375	0.395349	0.333333	0.213115	0.361702	0.196429	0.410256	0.326087	0.020408
D00586	0.068182	0.105263	0.21875	0.052632	0.097561	0.051282	0.21875	0.065217	0.105263	0.044444	0.025	0.066667	0.068182	0.068493	0.086957	0.25	0.066667	0.222222	0.153846	0.075	0.051282	0.090909	0.051282	0.16129	0.205882	0.294118	0.21875	0.159091	1	0.130435	0.137255	0.2	0.222222	0.21875	0.065217	0.02439	0.093023	0.02439	0.113636	0.411765	0.150943	0.576923	0.042553	0.222222	0.2	0.105263	0.044444	0.1	0.22	0.0625	0.2	0.02439	0.230769	0.027778
D00596	0.070175	0.076923	0.204545	0.08	0.092593	0.1	0.152174	0.105263	0.037037	0.109091	0.078431	0.068966	0.109091	0.108434	0.103448	0.225	0.068966	0.208333	0.156863	0.075472	0.1	0.068966	0.037736	0.282051	0.145833	0.26087	0.292683	0.181818	0.130435	1	0.333333	0.152542	0.236842	0.292683	0.067797	0.076923	0.070175	0.076923	0.188679	0.24	0.388889	0.222222	0.067797	0.26087	0.138462	0.076923	0.033898	0.078125	0.171875	0.083333	0.259259	0.037037	0.169811	0.159091
D00627	0.080645	0.050847	0.113208	0.034483	0.048387	0.109091	0.113208	0.078125	0.050847	0.116667	0.016667	0.046154	0.080645	0.101124	0.09375	0.222222	0.046154	0.103448	0.160714	0.05	0.109091	0.046154	0.051724	0.142857	0.109091	0.254902	0.282609	0.145161	0.137255	0.333333	1	0.121212	0.204545	0.255319	0.045455	0.033333	0.046875	0.033333	0.112903	0.236364	0.285714	0.12963	0.045455	0.230769	0.126761	0.050847	0.046875	0.056338	0.372881	0.075758	0.298246	0.033333	0.152542	0.14
D00690	0.26	0.380952	0.309524	0.365854	0.487805	0.14	0.27907	0.226415	0.318182	0.26	0.295455	0.207547	0.235294	0.220779	0.571429	0.214286	0.230769	0.25	0.12963	0.475	0.14	0.333333	0.266667	0.155556	0.295455	0.22449	0.122449	0.395833	0.2	0.152542	0.121212	1	0.195122	0.122449	0.226415	0.288889	0.465116	0.288889	0.413043	0.163636	0.132353	0.1875	0.413043	0.22449	0.225806	0.318182	0.3125	0.613636	0.184615	0.595238	0.166667	0.234043	0.361702	0.039216
D00730	0.076923	0.027778	0.214286	0.029412	0.052632	0.028571	0.214286	0.073171	0.027778	0.076923	0.028571	0.02381	0.076923	0.073529	0.071429	0.5	0.02381	0.181818	0.212121	0.027027	0.028571	0.02381	0.028571	0.291667	0.2	0.3	0.36	0.179487	0.222222	0.236842	0.204545	0.195122	1	0.259259	0.023256	0.057143	0.105263	0.057143	0.257143	0.228571	0.191489	0.2	0.1	0.344828	0.170213	0.027778	0.105263	0.111111	0.142857	0.15	0.195122	0.057143	0.264706	0.142857
D00898	0.066667	0.04878	0.212121	0.078947	0.095238	0.076923	0.25	0.086957	0.075	0.090909	0.05	0.065217	0.066667	0.112676	0.085106	0.285714	0.065217	0.153846	0.15	0.1	0.076923	0.042553	0.076923	0.193548	0.235294	0.451613	0.818182	0.209302	0.21875	0.292683	0.255319	0.122449	0.259259	1	0.086957	0.04878	0.043478	0.04878	0.136364	0.324324	0.347826	0.2	0.041667	0.363636	0.150943	0.04878	0.043478	0.056604	0.265306	0.061224	0.309524	0.04878	0.166667	0.027027
D00930	0.45	0.358974	0.25	0.342105	0.333333	0.333333	0.282051	0.714286	0.394737	0.45	0.3	0.735294	0.567568	0.202703	0.297872	0.095238	0.735294	0.195652	0.191489	0.35	0.333333	0.282609	0.368421	0.044444	0.268293	0.1	0.086957	0.291667	0.065217	0.067797	0.045455	0.226415	0.023256	0.086957	1	0.292683	0.318182	0.292683	0.25	0.053571	0.058824	0.061224	0.276596	0.1	0.20339	0.325	0.318182	0.269231	0.107692	0.24	0.101695	0.292683	0.204082	0.021277
D00950	0.416667	0.586207	0.433333	0.692308	0.580645	0.125	0.34375	0.292683	0.483871	0.342105	0.875	0.3	0.307692	0.171429	0.35	0.054054	0.3	0.333333	0.042553	0.566667	0.125	0.485714	0.451613	0.142857	0.451613	0.021277	0.075	0.486486	0.02439	0.076923	0.033333	0.288889	0.057143	0.04878	0.292683	1	0.5	1	0.472222	0.061224	0.048387	0.071429	0.394737	0.116279	0.185185	0.483871	0.59375	0.340909	0.083333	0.375	0.115385	0.769231	0.268293	0.051282
D00951	0.473684	0.7	0.297297	0.580645	0.588235	0.190476	0.263158	0.318182	0.545455	0.365854	0.515152	0.357143	0.333333	0.242857	0.439024	0.157895	0.357143	0.261905	0.148936	0.485714	0.190476	0.540541	0.388889	0.097561	0.282051	0.177778	0.043478	0.428571	0.093023	0.070175	0.046875	0.465116	0.105263	0.043478	0.318182	0.5	1	0.5	0.487179	0.055556	0.029412	0.086957	0.487179	0.177778	0.169492	0.645161	0.555556	0.454545	0.147541	0.5	0.105263	0.378378	0.295455	0.022222
D00954	0.416667	0.586207	0.433333	0.692308	0.580645	0.125	0.34375	0.292683	0.483871	0.342105	0.875	0.3	0.307692	0.171429	0.35	0.054054	0.3	0.333333	0.042553	0.566667	0.125	0.485714	0.451613	0.142857	0.451613	0.021277	0.075	0.486486	0.02439	0.076923	0.033333	0.288889	0.057143	0.04878	0.292683	1	0.5	1	0.472222	0.061224	0.048387	0.071429	0.394737	0.116279	0.185185	0.483871	0.59375	0.340909	0.083333	0.375	0.115385	0.769231	0.268293	0.051282
D00956	0.414634	0.514286	0.470588	0.545455	0.435897	0.106383	0.470588	0.304348	0.394737	0.348837	0.529412	0.255319	0.318182	0.202703	0.326087	0.243243	0.255319	0.410256	0.12	0.384615	0.106383	0.372093	0.3	0.236842	0.405405	0.195652	0.162791	0.47619	0.113636	0.188679	0.112903	0.413043	0.257143	0.136364	0.25	0.472222	0.487179	0.472222	1	0.134615	0.125	0.181818	0.395349	0.25	0.290909	0.432432	0.487179	0.346939	0.180328	0.409091	0.181818	0.358974	0.439024	0.066667
D00961	0.055556	0.061224	0.166667	0.041667	0.078431	0.02	0.195122	0.072727	0.083333	0.055556	0.0625	0.035714	0.055556	0.08642	0.090909	0.25	0.035714	0.227273	0.122449	0.06	0.02	0.054545	0.040816	0.15	0.186047	0.384615	0.361111	0.173077	0.411765	0.24	0.236364	0.163636	0.228571	0.324324	0.053571	0.061224	0.055556	0.061224	0.134615	1	0.245614	0.275	0.017241	0.317073	0.272727	0.061224	0.036364	0.083333	0.339623	0.070175	0.333333	0.061224	0.234043	0.044444
D00962	0.076923	0.031746	0.107143	0.05	0.0625	0.103448	0.127273	0.090909	0.048387	0.111111	0.032258	0.044118	0.076923	0.074468	0.089552	0.208333	0.044118	0.116667	0.133333	0.064516	0.103448	0.028986	0.04918	0.156863	0.122807	0.288462	0.347826	0.138462	0.150943	0.388889	0.306452	0.132353	0.191489	0.347826	0.058824	0.048387	0.029412	0.048387	0.125	0.245614	1	0.142857	0.028571	0.218182	0.185714	0.031746	0.029412	0.068493	0.235294	0.072464	0.305085	0.048387	0.20339	0.2
D00965	0.041667	0.097561	0.3125	0.102564	0.090909	0.073171	0.235294	0.061224	0.046512	0.041667	0.1	0.040816	0.041667	0.140845	0.081633	0.225806	0.040816	0.305556	0.142857	0.121951	0.073171	0.085106	0.047619	0.344828	0.222222	0.205128	0.2	0.2	0.576923	0.222222	0.12963	0.1875	0.2	0.2	0.061224	0.071429	0.086957	0.071429	0.181818	0.275	0.142857	1	0.083333	0.205128	0.211538	0.097561	0.041667	0.09434	0.142857	0.102041	0.14	0.022727	0.243902	0.025641
D01115	0.348837	0.472222	0.25	0.457143	0.473684	0.155556	0.219512	0.276596	0.394737	0.348837	0.405405	0.282609	0.288889	0.202703	0.355556	0.121951	0.282609	0.222222	0.098039	0.542857	0.155556	0.685714	0.444444	0.093023	0.238095	0.1	0.041667	0.409091	0.042553	0.067797	0.045455	0.413043	0.1	0.041667	0.276596	0.394737	0.487179	0.394737	0.395349	0.017241	0.028571	0.083333	1	0.170213	0.145161	0.432432	0.414634	0.434783	0.107692	0.44186	0.065574	0.325	0.255319	0.021277
D01132	0.104167	0.116279	0.25	0.121951	0.108696	0.146341	0.25	0.1	0.116279	0.104167	0.119048	0.102041	0.104167	0.166667	0.12	0.413793	0.102041	0.219512	0.275	0.113636	0.146341	0.102041	0.119048	0.166667	0.27027	0.428571	0.40625	0.23913	0.222222	0.26087	0.230769	0.22449	0.344828	0.363636	0.1	0.116279	0.177778	0.116279	0.25	0.317073	0.218182	0.205128	0.170213	1	0.178571	0.116279	0.204545	0.150943	0.313725	0.1875	0.304348	0.116279	0.285714	0.04878
D01161	0.277778	0.207547	0.386364	0.24	0.218182	0.067797	0.452381	0.267857	0.230769	0.277778	0.211538	0.166667	0.232143	0.136364	0.2	0.14	0.186441	0.375	0.098361	0.203704	0.067797	0.186441	0.211538	0.09434	0.4	0.137931	0.173077	0.237288	0.2	0.138462	0.126761	0.225806	0.170213	0.150943	0.20339	0.185185	0.169492	0.185185	0.290909	0.272727	0.185714	0.211538	0.145161	0.178571	1	0.207547	0.169492	0.166667	0.202899	0.177419	0.245902	0.185185	0.458333	0.282609
D01217	0.5	0.84	0.34375	0.692308	0.580645	0.184211	0.34375	0.325	0.703704	0.416667	0.5	0.333333	0.342105	0.205882	0.421053	0.083333	0.333333	0.297297	0.065217	0.516129	0.184211	0.625	0.40625	0.111111	0.285714	0.090909	0.04878	0.375	0.105263	0.076923	0.050847	0.318182	0.027778	0.04878	0.325	0.483871	0.645161	0.483871	0.432432	0.061224	0.031746	0.097561	0.432432	0.116279	0.207547	1	0.416667	0.372093	0.140351	0.375	0.115385	0.352941	0.268293	0.025
D01294	0.4	0.5	0.297297	0.484848	0.421053	0.162791	0.297297	0.288889	0.457143	0.365854	0.612903	0.295455	0.302326	0.191781	0.311111	0.128205	0.325581	0.261905	0.102041	0.405405	0.162791	0.425	0.388889	0.046512	0.388889	0.104167	0.043478	0.395349	0.044444	0.033898	0.046875	0.3125	0.105263	0.043478	0.318182	0.59375	0.555556	0.59375	0.487179	0.036364	0.029412	0.041667	0.380952	0.204545	0.169492	0.416667	1	0.391304	0.111111	0.463415	0.067797	0.545455	0.325581	0.022222
D01387	0.306122	0.404762	0.244444	0.390244	0.47619	0.137255	0.217391	0.294118	0.372093	0.306122	0.318182	0.27451	0.306122	0.266667	0.634146	0.155556	0.27451	0.196078	0.107143	0.463415	0.137255	0.354167	0.348837	0.081633	0.208333	0.150943	0.056604	0.333333	0.1	0.078125	0.056338	0.613636	0.111111	0.056604	0.269231	0.340909	0.454545	0.340909	0.346939	0.083333	0.068493	0.09434	0.434783	0.150943	0.166667	0.372093	0.361702	1	0.130435	0.545455	0.126984	0.282609	0.27451	0.038462
D01441	0.129032	0.140351	0.215686	0.105263	0.133333	0.084746	0.215686	0.125	0.140351	0.129032	0.084746	0.109375	0.129032	0.16092	0.140625	0.183673	0.109375	0.264151	0.133333	0.118644	0.084746	0.126984	0.122807	0.113208	0.207547	0.288462	0.24	0.213115	0.22	0.171875	0.372881	0.184615	0.142857	0.24	0.107692	0.083333	0.147541	0.083333	0.180328	0.314815	0.217391	0.142857	0.107692	0.313725	0.202899	0.140351	0.111111	0.130435	1	0.121212	0.45283	0.083333	0.20339	0.034483
D01689	0.363636	0.447368	0.3	0.472222	0.526316	0.148936	0.268293	0.265306	0.375	0.304348	0.384615	0.244898	0.276596	0.246575	0.575	0.2	0.244898	0.23913	0.137255	0.513514	0.148936	0.386364	0.35	0.088889	0.285714	0.14	0.083333	0.361702	0.0625	0.083333	0.075758	0.595238	0.15	0.061224	0.24	0.375	0.5	0.375	0.409091	0.070175	0.072464	0.102041	0.44186	0.1875	0.177419	0.375	0.463415	0.545455	0.121212	1	0.116667	0.309524	0.386364	0.06383
D02217	0.125	0.115385	0.25	0.098039	0.150943	0.055556	0.27907	0.140351	0.137255	0.145455	0.096154	0.084746	0.125	0.189873	0.157895	0.186047	0.084746	0.2	0.12963	0.134615	0.055556	0.103448	0.096154	0.130435	0.266667	0.304348	0.341463	0.196429	0.2	0.259259	0.254237	0.166667	0.195122	0.309524	0.101695	0.115385	0.105263	0.115385	0.181818	0.333333	0.327586	0.14	0.065574	0.304348	0.245902	0.115385	0.067797	0.126984	0.45283	0.116667	1	0.115385	0.254902	0.039216
