	hsa190	hsa2099	hsa2100	hsa2101	hsa2103	hsa2104	hsa2908	hsa3174	hsa367	hsa4306	hsa5241	hsa5465	hsa5468	hsa5914	hsa5915	hsa5916	hsa6095	hsa6096	hsa6097	hsa6256	hsa6257	hsa6258	hsa7421	hsa8856	hsa9970	hsa9971
hsa5241	0.0207717584404241	0.129516860347121	0.131196485470263	0.142383357449572	0.133362966690369	0.140475251842776	0.257273185997517	0.097153782604896	0.254715034157448	0.230991199722466	1	0.0592770028809637	0.0697549037809539	0.084890804176111	0.0782779662622246	0.087115914431307	0.0578200426536533	0.0624412400024206	0.0573597351150553	0.10415882731011	0.0966434458173313	0.0358803449581123	0.0600288410213121	0.0663300763081153	0.0926007835506728	0.0775708396071611
hsa5465	0.0273345843851285	0.0928416059632321	0.0961173005583893	0.11005572899274	0.123747169691191	0.14240658712667	0.0770235782318696	0.132132232529795	0.0614301755419609	0.0699413282975481	0.0592770028809637	1	0.544391219957297	0.201525923974561	0.212327748029733	0.203272953553013	0.16545072083858	0.177732853233981	0.141836052636501	0.17513614812897	0.147765914052046	0.0320060487928147	0.1632571018396	0.146106237092178	0.12526925840366	0.152315629337298
hsa5468	0.0284547955771943	0.109252441521706	0.0944790521170864	0.128351667703708	0.126886718226598	0.142440357476068	0.0680350221098536	0.13124123054992	0.0638462018276166	0.0667950739719785	0.0697549037809539	0.544391219957297	1	0.194659564616783	0.202030064177239	0.198253005352371	0.17143731923535	0.186253055455728	0.155260602537649	0.170568120819154	0.143658083581871	0.0295084329800469	0.182382807758855	0.162154222095413	0.12510122576842	0.17152843782458
hsa5914	0.0250328076662088	0.140516447774696	0.148962852942309	0.188524604309974	0.177806631347855	0.215258858304074	0.0956682219808598	0.174741650897043	0.0872173108056878	0.0870932644100805	0.084890804176111	0.201525923974561	0.194659564616783	1	0.728869042945886	0.694135045382142	0.151815976147657	0.16340232159034	0.125573385188487	0.233392037889312	0.211265291546024	0.053073234179177	0.174975639849524	0.167252819113473	0.175003406241316	0.189036376549229
hsa5915	0.0237477344356753	0.148842576683781	0.141943831335285	0.183204980814741	0.183425183423112	0.206061539255472	0.0967512260194818	0.18903472256636	0.0845598171313611	0.0849722432081885	0.0782779662622246	0.212327748029733	0.202030064177239	0.728869042945886	1	0.718698414016836	0.171634991706759	0.178881876391	0.132404461463115	0.234236863010801	0.21111625020399	0.0422928995299998	0.180287371234053	0.174372335985404	0.175534239642375	0.19755222821516
hsa5916	0.0249774256325095	0.148462200221682	0.145227111218421	0.195533252952748	0.20802618751273	0.231099692363152	0.099896408066952	0.179164431115118	0.0910417177834616	0.0955033020363903	0.087115914431307	0.203272953553013	0.198253005352371	0.694135045382142	0.718698414016836	1	0.162775816306466	0.17670864336501	0.130248849939608	0.242853806826029	0.218695594732799	0.0476602345097285	0.18310795361604	0.160388379284729	0.182370330482034	0.19161246985935
hsa6095	0.0179332965382288	0.0853387890059742	0.0886474805186148	0.0949960169480974	0.0917355367128298	0.0946959150190497	0.061022018367731	0.0977090488244506	0.0556788506823852	0.0610715808774633	0.0578200426536533	0.16545072083858	0.17143731923535	0.151815976147657	0.171634991706759	0.162775816306466	1	0.578460678512331	0.430084893083516	0.116272100888818	0.103159990851818	0.0380212263629869	0.163294306672937	0.138406457842664	0.104977512969887	0.135811023936828
hsa6096	0.020343388183645	0.0907107607976082	0.0952939816590417	0.10275137859612	0.0962211945717274	0.100863331679184	0.0653405266697028	0.107429890897985	0.0607664129009518	0.0713580139979585	0.0624412400024206	0.177732853233981	0.186253055455728	0.16340232159034	0.178881876391	0.17670864336501	0.578460678512331	1	0.458057156550255	0.12494160702936	0.110785386941785	0.0346374908025839	0.161151423011429	0.147544739617685	0.116166132035529	0.144855627728995
hsa6097	0.0268482202884501	0.0810574896203805	0.0869836228307792	0.0927662474913186	0.0931881095233227	0.0939674210449986	0.0632340591109719	0.102083125656298	0.0572738028793646	0.0648467659555655	0.0573597351150553	0.141836052636501	0.155260602537649	0.125573385188487	0.132404461463115	0.130248849939608	0.430084893083516	0.458057156550255	1	0.12000937748989	0.109785830862722	0.0352917490930767	0.143723144988282	0.156083549953203	0.105400931197879	0.108266122031717
hsa6256	0.0709573569384697	0.182938949807791	0.16852812709186	0.236719914221088	0.232586661248195	0.250417819756327	0.114512424231549	0.300161966515045	0.104676668165327	0.0905693724095082	0.10415882731011	0.17513614812897	0.170568120819154	0.233392037889312	0.234236863010801	0.242853806826029	0.116272100888818	0.12494160702936	0.12000937748989	1	0.622798925969169	0.0581965392383344	0.130656888227073	0.126320184020689	0.151055920511414	0.158001611365483
hsa6257	0.0628826556873632	0.168555206268866	0.15788155102036	0.216986349497146	0.206649656550772	0.216729186443535	0.101278583187301	0.278860573509804	0.09363641311181	0.0820310293987481	0.0966434458173313	0.147765914052046	0.143658083581871	0.211265291546024	0.21111625020399	0.218695594732799	0.103159990851818	0.110785386941785	0.109785830862722	0.622798925969169	1	0.0443200511579712	0.109840297961348	0.116767356777147	0.127375149138857	0.136586768778264
hsa6258	0.0369390417548288	0.0386844362636134	0.0366355565472728	0.038773270945947	0.0376573723308501	0.0408015113159692	0.0424742454395567	0.0352477378441716	0.0283280026621643	0.0359637753775175	0.0358803449581123	0.0320060487928147	0.0295084329800469	0.053073234179177	0.0422928995299998	0.0476602345097285	0.0380212263629869	0.0346374908025839	0.0352917490930767	0.0581965392383344	0.0443200511579712	1	0.0431599435664482	0.0488061533503682	0.0329580792649681	0.036481016479963
hsa7421	0.0371596973450943	0.11238399175576	0.102551371872857	0.138295014055253	0.14118775181612	0.142766050057796	0.0641000255241269	0.119420545127527	0.06786857138423	0.0761895685964624	0.0600288410213121	0.1632571018396	0.182382807758855	0.174975639849524	0.180287371234053	0.18310795361604	0.163294306672937	0.161151423011429	0.143723144988282	0.130656888227073	0.109840297961348	0.0431599435664482	1	0.358626657836617	0.272158931275929	0.202261064678409
hsa8856	0.0351697092472271	0.095273230694617	0.0887873905929847	0.124020711581926	0.112519169112861	0.115004246729531	0.0716087871365802	0.115132995433364	0.0648460913023208	0.0756135298878157	0.0663300763081153	0.146106237092178	0.162154222095413	0.167252819113473	0.174372335985404	0.160388379284729	0.138406457842664	0.147544739617685	0.156083549953203	0.126320184020689	0.116767356777147	0.0488061533503682	0.358626657836617	1	0.324824642311919	0.189048691799508
hsa9970	0.0287873801678091	0.127434733513351	0.13704416494424	0.169994059397339	0.157941243147555	0.161980128306721	0.107362639938087	0.152691480962303	0.0877870079466815	0.0940189670678044	0.0926007835506728	0.12526925840366	0.12510122576842	0.175003406241316	0.175534239642375	0.182370330482034	0.104977512969887	0.116166132035529	0.105400931197879	0.151055920511414	0.127375149138857	0.0329580792649681	0.272158931275929	0.324824642311919	1	0.190025334623086
hsa9971	0.0360788430599661	0.117583866840084	0.12692056768406	0.136654880970634	0.14022485455954	0.153875566327121	0.0922508840782246	0.130524007330819	0.0816834732082478	0.0855913272705694	0.0775708396071611	0.152315629337298	0.17152843782458	0.189036376549229	0.19755222821516	0.19161246985935	0.135811023936828	0.144855627728995	0.108266122031717	0.158001611365483	0.136586768778264	0.036481016479963	0.202261064678409	0.189048691799508	0.190025334623086	1
